SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,crypto_id
354,USD Coin,USDC,27-09-19 23:59,1.010161425,0.999577779,1.005289942,1.006369489,157011691.3,427060556,10
355,USD Coin,USDC,28-09-19 23:59,1.011093519,0.995803035,1.006144164,1.002170067,118395271,429395142.8,10
356,USD Coin,USDC,29-09-19 23:59,1.015794378,0.999217952,1.002462901,1.00448985,114528744.8,429610243.1,10
357,USD Coin,USDC,30-09-19 23:59,1.013317237,0.996289648,1.004472252,1.001385556,176210396.7,427374808.4,10
358,USD Coin,USDC,01-10-19 23:59,1.009325697,0.995452799,1.000684199,1.003272833,139974502.4,426469952.1,10
359,USD Coin,USDC,02-10-19 23:59,1.00647442,0.998627791,1.003272833,1.001127739,170359263.1,456240793.2,10
360,USD Coin,USDC,03-10-19 23:59,1.010141313,0.997936764,1.000854311,1.002370773,217085170.5,474684574.4,10
361,USD Coin,USDC,04-10-19 23:59,1.013045459,1.000176472,1.002291681,1.005407272,154530799.4,476792469.4,10
362,USD Coin,USDC,05-10-19 23:59,1.008510212,0.996108528,1.005407272,0.998863038,131141182.5,473493990.9,10
363,USD Coin,USDC,06-10-19 23:59,1.021895592,0.996903142,0.99891624,1.01354652,154064851.7,480030266,10
364,USD Coin,USDC,07-10-19 23:59,1.017310601,0.996637708,1.012269115,1.005491938,183256903.8,471937627.2,10
365,USD Coin,USDC,08-10-19 23:59,1.009145241,0.99837242,1.004857257,1.005444851,182457962.4,468318969.6,10
366,USD Coin,USDC,09-10-19 23:59,1.010168172,0.991700802,1.005444851,1.00086814,213518684.2,461621062.8,10
367,USD Coin,USDC,10-10-19 23:59,1.003992901,0.995636113,1.000533569,1.000491821,219588027,452018482.8,10
368,USD Coin,USDC,11-10-19 23:59,1.012977344,0.990912661,1.000300988,1.007017832,212197498.9,470359604.2,10
369,USD Coin,USDC,12-10-19 23:59,1.007017832,0.999283559,1.007017832,1.002840725,155919005.6,468394317.8,10
370,USD Coin,USDC,13-10-19 23:59,1.015355234,0.999925347,1.002942128,1.003168537,141554667.4,468541248.8,10
371,USD Coin,USDC,14-10-19 23:59,1.007606296,0.994080115,1.003168537,1.002749423,190937612.7,468218813.9,10
372,USD Coin,USDC,15-10-19 23:59,1.014311473,0.996476172,1.002948657,1.004289594,225464590.9,471057040.7,10
373,USD Coin,USDC,16-10-19 23:59,1.010509058,0.999840214,1.004313364,1.004678916,273003369.4,475595775.2,10
374,USD Coin,USDC,17-10-19 23:59,1.008238342,1.001004276,1.004381689,1.003134358,163371781.6,474582522.9,10
375,USD Coin,USDC,18-10-19 23:59,1.015130449,1.000615351,1.003134358,1.001674128,167707575.1,474714057.8,10
376,USD Coin,USDC,19-10-19 23:59,1.008428642,0.996503287,1.001489454,1.003929624,134004655.4,476133073.1,10
377,USD Coin,USDC,20-10-19 23:59,1.007354085,0.990778753,1.003700419,1.000503251,142910830.1,474459293.6,10
378,USD Coin,USDC,21-10-19 23:59,1.004761465,0.99884543,1.000529959,1.002587887,204345569.4,477558147.5,10
379,USD Coin,USDC,22-10-19 23:59,1.006757693,1.000019891,1.002224141,1.002692536,157055490,462166934.5,10
380,USD Coin,USDC,23-10-19 23:59,1.035086171,1.000450539,1.002603469,1.003170081,202607602.1,464430441.7,10
381,USD Coin,USDC,24-10-19 23:59,1.007723496,1.001949433,1.002907901,1.007723496,169699223.8,481101879.7,10
382,USD Coin,USDC,25-10-19 23:59,1.009265377,0.974552563,1.007723496,1.000640198,269128282.5,481796816.5,10
383,USD Coin,USDC,26-10-19 23:59,1.008890374,0.967925899,1.000589705,0.998885441,325436453.4,480409109,10
384,USD Coin,USDC,27-10-19 23:59,1.006856402,0.973098167,0.998995779,1.000814058,259625515,475568091.7,10
385,USD Coin,USDC,28-10-19 23:59,1.006401892,0.974622902,1.000401533,1.001158323,279804543,473738410.9,10
386,USD Coin,USDC,29-10-19 23:59,1.012311752,0.992215314,1.002181001,0.99963472,275012858.8,470545186.7,10
387,USD Coin,USDC,30-10-19 23:59,1.007943514,0.99839571,1.000037828,1.002587645,278236712.3,467478637,10
388,USD Coin,USDC,31-10-19 23:59,1.040576673,0.996350151,1.002402345,1.004974661,238812359.2,464314215.4,10
389,USD Coin,USDC,01-11-19 23:59,1.009021236,0.998652102,1.005261457,1.001873837,244379929.9,455485474.4,10
390,USD Coin,USDC,02-11-19 23:59,1.009899626,0.995356652,1.001873837,1.002745533,222754024.8,469892324.7,10
391,USD Coin,USDC,03-11-19 23:59,1.012528845,0.997734986,1.003136741,1.003212426,208342328.2,468534830.7,10
392,USD Coin,USDC,04-11-19 23:59,1.006936555,0.991434644,1.0029075,1.002728751,310602968.3,447664364,10
393,USD Coin,USDC,05-11-19 23:59,1.008331655,0.995417405,1.002728751,1.00335767,294667615.1,469576715.5,10
394,USD Coin,USDC,06-11-19 23:59,1.0066543,0.999218484,1.003994981,1.0014068,254889570.5,458947112.9,10
395,USD Coin,USDC,07-11-19 23:59,1.009044379,0.999595637,1.001479944,1.006103983,239841337.1,458718478.2,10
396,USD Coin,USDC,08-11-19 23:59,1.014485177,0.999712812,1.005951494,1.00270224,274189415.2,453928210.2,10
397,USD Coin,USDC,09-11-19 23:59,1.006713878,0.999434965,1.002871375,0.999908425,181125622.6,452131191.3,10
398,USD Coin,USDC,10-11-19 23:59,1.009477953,0.987540048,1.000439118,1.002100026,208138708.8,452610559,10
399,USD Coin,USDC,11-11-19 23:59,1.012130263,0.999295814,1.002180147,1.004065276,249046402.7,452216839.1,10
400,USD Coin,USDC,12-11-19 23:59,1.011042656,0.997957809,1.00409101,1.002707464,231927403.7,450783452.2,10
401,USD Coin,USDC,13-11-19 23:59,1.008559119,1.000531562,1.002513727,1.004376884,221641562.6,449163234.3,10
402,USD Coin,USDC,14-11-19 23:59,1.014698623,1.000974619,1.004535677,1.006938513,206724419.2,442184866.4,10
403,USD Coin,USDC,15-11-19 23:59,1.015106739,0.998941837,1.007577967,1.00259014,217386443,439849169.8,10
404,USD Coin,USDC,16-11-19 23:59,1.010977944,1.002381094,1.002776249,1.007968839,196265977.3,444955986.5,10
405,USD Coin,USDC,17-11-19 23:59,1.018981769,1.002996067,1.007968839,1.008219199,348968468,445015571.7,10
406,USD Coin,USDC,18-11-19 23:59,1.023303827,1.007265622,1.008414914,1.013629201,318741885.6,447778601.4,10
407,USD Coin,USDC,19-11-19 23:59,1.02922633,1.004129805,1.01420605,1.01022494,270511692.7,444180150.1,10
408,USD Coin,USDC,20-11-19 23:59,1.020068417,1.004363484,1.01022494,1.007013822,243202936.7,433657939,10
409,USD Coin,USDC,21-11-19 23:59,1.020597827,1.002570973,1.006576287,1.004042419,273585206.2,443598617,10
410,USD Coin,USDC,22-11-19 23:59,1.015716968,0.992033873,1.004042419,1.001247295,360936425.5,441973715.2,10
411,USD Coin,USDC,23-11-19 23:59,1.015544387,0.998939497,1.001101252,1.011743963,278078471.9,448722470.8,10
412,USD Coin,USDC,24-11-19 23:59,1.016546069,1.002089813,1.01199407,1.008879046,205327942.9,447418651.1,10
413,USD Coin,USDC,25-11-19 23:59,1.019107096,0.987094967,1.008132962,1.000392663,292879019.6,457965522.7,10
414,USD Coin,USDC,26-11-19 23:59,1.019233058,0.996793098,1.000121856,1.007934624,253662665.1,462535121.5,10
415,USD Coin,USDC,27-11-19 23:59,1.028931264,0.985044036,1.002429717,1.007487731,320421509.5,467956601.9,10
416,USD Coin,USDC,28-11-19 23:59,1.031531747,1.004139422,1.007001013,1.00675458,297912087.9,458276295.9,10
417,USD Coin,USDC,29-11-19 23:59,1.016423878,0.992704509,1.006490922,1.003049946,243248443.1,454235199.9,10
418,USD Coin,USDC,30-11-19 23:59,1.01313103,0.991826299,1.002870971,0.997657824,225316662.2,454059447.8,10
419,USD Coin,USDC,01-12-19 23:59,1.011173465,0.981534749,0.997869139,0.996449857,195974260.1,454728031.5,10
420,USD Coin,USDC,02-12-19 23:59,1.013468941,0.987113188,0.996619399,0.998793617,236676758.4,456524671.6,10
421,USD Coin,USDC,03-12-19 23:59,1.012391479,0.988956153,0.998793617,1.00214562,220114424.2,446025601.6,10
422,USD Coin,USDC,04-12-19 23:59,1.013198017,0.989386297,1.002409721,1.004955145,266815749.8,465046679,10
423,USD Coin,USDC,05-12-19 23:59,1.014341903,0.995629429,1.004105898,1.008945469,278757472.2,467344559.4,10
424,USD Coin,USDC,06-12-19 23:59,1.011796815,0.99864132,1.009158509,1.003250734,303997788,464937221.9,10
425,USD Coin,USDC,07-12-19 23:59,1.009701232,1.002035411,1.003875278,1.006559485,303307059.4,465947063.8,10
426,USD Coin,USDC,08-12-19 23:59,1.013836635,1.002094071,1.006363306,1.005469788,343379310.9,464755635.4,10
427,USD Coin,USDC,09-12-19 23:59,1.010999215,0.996310413,1.00610469,1.00575366,289633306.4,485716419.5,10
428,USD Coin,USDC,10-12-19 23:59,1.010797259,1.000657722,1.00587749,1.006340516,337364122.1,481975625.3,10
429,USD Coin,USDC,11-12-19 23:59,1.013947711,1.000769915,1.006807154,1.000769915,220178877.4,475096190.2,10
430,USD Coin,USDC,12-12-19 23:59,1.013901986,0.995325555,1.000751316,1.006966356,254328990.1,477440912.6,10
431,USD Coin,USDC,13-12-19 23:59,1.008258577,1.00097866,1.006781025,1.003056376,234842837,473685132.3,10
432,USD Coin,USDC,14-12-19 23:59,1.010034703,1.001657505,1.003324846,1.006865678,219599263.3,475565226.2,10
433,USD Coin,USDC,15-12-19 23:59,1.008900537,0.997124721,1.006865678,1.005688555,245259536.6,476226732.2,10
434,USD Coin,USDC,16-12-19 23:59,1.019479541,1.000726772,1.005709266,1.00361708,267804554.4,467012936.7,10
435,USD Coin,USDC,17-12-19 23:59,1.021873696,0.994054123,1.00361708,0.998725988,343419649.9,459604776.3,10
436,USD Coin,USDC,18-12-19 23:59,1.03440096,0.993736554,0.99787235,1.00905113,502511827.3,476511546.9,10
