Date,Close/Last,Volume,Open,High,Low,Symbol,stock_id
10-12-23,$138.97 ,24765540,$141.05 ,$141.22 ,$138.26 ,GOOGL,3
10-11-23,$140.55 ,25884300,$138.58 ,$141.11 ,$138.58 ,GOOGL,3
10-10-23,$138.06 ,27786610,$138.50 ,$139.72 ,$137.33 ,GOOGL,3
10-09-23,$138.42 ,19278070,$136.94 ,$138.94 ,$135.61 ,GOOGL,3
10-06-23,$137.58 ,27597600,$134.01 ,$138.16 ,$134.01 ,GOOGL,3
10-05-23,$135.07 ,19832620,$135.07 ,$135.49 ,$133.45 ,GOOGL,3
10-04-23,$135.24 ,26752300,$132.79 ,$135.57 ,$132.53 ,GOOGL,3
10-03-23,$132.43 ,22989400,$133.94 ,$134.26 ,$131.84 ,GOOGL,3
10-02-23,$134.17 ,22288040,$131.21 ,$134.42 ,$131.17 ,GOOGL,3
09/29/2023,$130.86 ,30859790,$133.28 ,$134.05 ,$130.36 ,GOOGL,3
09/28/2023,$132.31 ,22513130,$129.84 ,$133.30 ,$129.79 ,GOOGL,3
09/27/2023,$130.54 ,22746450,$128.57 ,$130.90 ,$128.57 ,GOOGL,3
09/26/2023,$128.57 ,25718700,$129.77 ,$130.36 ,$127.22 ,GOOGL,3
09/25/2023,$131.11 ,20094640,$129.83 ,$131.17 ,$128.96 ,GOOGL,3
09/22/2023,$130.25 ,26397340,$130.76 ,$132.03 ,$129.60 ,GOOGL,3
09/21/2023,$130.44 ,31503910,$131.44 ,$132.23 ,$130.07 ,GOOGL,3
09/20/2023,$133.74 ,29927480,$138.08 ,$138.08 ,$133.62 ,GOOGL,3
09/19/2023,$138.04 ,20353650,$137.42 ,$138.41 ,$136.62 ,GOOGL,3
09/18/2023,$138.21 ,21861350,$136.61 ,$139.16 ,$136.61 ,GOOGL,3
09/15/2023,$137.40 ,38919610,$137.98 ,$138.52 ,$136.48 ,GOOGL,3
09/14/2023,$138.10 ,24750970,$137.60 ,$138.70 ,$136.24 ,GOOGL,3
09/13/2023,$136.71 ,20749500,$135.09 ,$136.90 ,$134.15 ,GOOGL,3
09-12-23,$135.34 ,18405510,$136.26 ,$136.87 ,$135.19 ,GOOGL,3
09-11-23,$136.92 ,20763350,$136.54 ,$137.48 ,$135.79 ,GOOGL,3
09-08-23,$136.38 ,23584190,$134.91 ,$136.66 ,$134.85 ,GOOGL,3
09-07-23,$135.26 ,18844340,$133.59 ,$135.58 ,$132.95 ,GOOGL,3
09-06-23,$134.46 ,18684530,$136.02 ,$136.53 ,$133.67 ,GOOGL,3
09-05-23,$135.77 ,19403110,$135.44 ,$136.42 ,$134.58 ,GOOGL,3
09-01-23,$135.66 ,21543690,$137.46 ,$137.46 ,$134.85 ,GOOGL,3
08/31/2023,$136.17 ,30053800,$136.01 ,$138.00 ,$135.79 ,GOOGL,3
08/30/2023,$135.88 ,28315770,$134.78 ,$136.28 ,$134.07 ,GOOGL,3
08/29/2023,$134.57 ,43075560,$132.24 ,$136.57 ,$132.24 ,GOOGL,3
08/28/2023,$131.01 ,20543270,$131.31 ,$132.54 ,$130.14 ,GOOGL,3
08/25/2023,$129.88 ,26762890,$129.54 ,$130.76 ,$127.25 ,GOOGL,3
08/24/2023,$129.78 ,28500690,$133.95 ,$134.25 ,$129.57 ,GOOGL,3
08/23/2023,$132.37 ,27819710,$130.18 ,$133.41 ,$129.87 ,GOOGL,3
08/22/2023,$129.08 ,22067520,$128.51 ,$130.28 ,$128.32 ,GOOGL,3
08/21/2023,$128.37 ,25248730,$127.18 ,$128.73 ,$126.56 ,GOOGL,3
08/18/2023,$127.46 ,30504770,$128.51 ,$129.25 ,$126.38 ,GOOGL,3
08/17/2023,$129.92 ,33446280,$129.80 ,$131.99 ,$129.29 ,GOOGL,3
08/16/2023,$128.70 ,25216070,$128.70 ,$130.28 ,$127.87 ,GOOGL,3
08/15/2023,$129.78 ,19770730,$131.10 ,$131.42 ,$129.28 ,GOOGL,3
08/14/2023,$131.33 ,24695610,$129.39 ,$131.37 ,$128.96 ,GOOGL,3
08-11-23,$129.56 ,19591080,$128.66 ,$129.93 ,$128.17 ,GOOGL,3
08-10-23,$129.69 ,20857750,$131.32 ,$132.05 ,$129.45 ,GOOGL,3
08-09-23,$129.66 ,24912920,$131.66 ,$132.04 ,$129.00 ,GOOGL,3
08-08-23,$131.40 ,23535180,$130.62 ,$131.51 ,$129.55 ,GOOGL,3
08-07-23,$131.53 ,22746290,$129.16 ,$131.61 ,$129.02 ,GOOGL,3
08-04-23,$128.11 ,26147160,$129.28 ,$131.51 ,$127.91 ,GOOGL,3
08-03-23,$128.45 ,20159530,$127.97 ,$129.39 ,$127.42 ,GOOGL,3
08-02-23,$128.38 ,26273260,$129.45 ,$130.09 ,$127.56 ,GOOGL,3
08-01-23,$131.55 ,23276440,$130.78 ,$132.63 ,$130.68 ,GOOGL,3
07/31/2023,$132.72 ,28055530,$132.73 ,$133.53 ,$131.78 ,GOOGL,3
07/28/2023,$132.58 ,36591160,$130.78 ,$133.74 ,$130.57 ,GOOGL,3
07/27/2023,$129.40 ,44952070,$131.67 ,$133.24 ,$128.79 ,GOOGL,3
07/26/2023,$129.27 ,61682090,$130.07 ,$130.98 ,$128.32 ,GOOGL,3
07/25/2023,$122.21 ,52509550,$121.36 ,$123.15 ,$121.02 ,GOOGL,3
07/24/2023,$121.53 ,29723670,$121.66 ,$123.00 ,$120.98 ,GOOGL,3
07/21/2023,$120.02 ,71606470,$120.62 ,$120.99 ,$118.73 ,GOOGL,3
07/20/2023,$119.20 ,37906760,$121.42 ,$124.09 ,$118.22 ,GOOGL,3
07/19/2023,$122.03 ,37224030,$124.60 ,$125.18 ,$121.80 ,GOOGL,3
07/18/2023,$123.76 ,26226450,$124.60 ,$124.68 ,$122.96 ,GOOGL,3
07/17/2023,$124.65 ,25716220,$125.94 ,$127.10 ,$124.20 ,GOOGL,3
07/14/2023,$125.42 ,33283080,$124.80 ,$126.78 ,$123.49 ,GOOGL,3
07/13/2023,$124.54 ,44297920,$120.93 ,$124.83 ,$120.45 ,GOOGL,3
07-12-23,$118.93 ,30404410,$118.80 ,$120.33 ,$118.41 ,GOOGL,3
07-11-23,$117.14 ,23078780,$116.29 ,$117.71 ,$115.35 ,GOOGL,3
07-10-23,$116.45 ,35315240,$118.30 ,$118.31 ,$116.14 ,GOOGL,3
07-07-23,$119.48 ,21709550,$120.10 ,$121.05 ,$119.40 ,GOOGL,3
07-06-23,$120.11 ,24778800,$119.80 ,$120.30 ,$118.40 ,GOOGL,3
07-05-23,$121.75 ,27584810,$119.24 ,$122.61 ,$119.23 ,GOOGL,3
07-03-23,$119.90 ,14442850,$119.24 ,$120.19 ,$118.82 ,GOOGL,3
06/30/2023,$119.70 ,29532240,$120.17 ,$121.08 ,$119.69 ,GOOGL,3
06/29/2023,$119.10 ,24090900,$119.24 ,$120.06 ,$118.30 ,GOOGL,3
06/28/2023,$120.18 ,27091450,$117.09 ,$120.39 ,$116.85 ,GOOGL,3
06/27/2023,$118.33 ,39535940,$117.08 ,$119.08 ,$116.10 ,GOOGL,3
06/26/2023,$118.34 ,33969900,$120.76 ,$122.00 ,$118.27 ,GOOGL,3
06/23/2023,$122.34 ,34913640,$121.38 ,$122.79 ,$121.06 ,GOOGL,3
06/22/2023,$123.15 ,26952250,$120.00 ,$123.24 ,$118.83 ,GOOGL,3
06/21/2023,$120.55 ,30306340,$122.40 ,$122.66 ,$120.10 ,GOOGL,3
06/20/2023,$123.10 ,26097490,$122.93 ,$124.57 ,$122.14 ,GOOGL,3
06/16/2023,$123.53 ,45535550,$125.93 ,$126.11 ,$123.28 ,GOOGL,3
06/15/2023,$125.09 ,35246270,$123.14 ,$125.46 ,$122.40 ,GOOGL,3
06/14/2023,$123.67 ,30592300,$123.10 ,$124.05 ,$121.45 ,GOOGL,3
06/13/2023,$123.83 ,22278310,$124.98 ,$125.16 ,$123.18 ,GOOGL,3
06-12-23,$123.64 ,28338740,$122.79 ,$124.05 ,$121.66 ,GOOGL,3
06-09-23,$122.23 ,23778320,$122.25 ,$123.76 ,$121.91 ,GOOGL,3
06-08-23,$122.14 ,29389170,$122.23 ,$123.23 ,$121.24 ,GOOGL,3
06-07-23,$122.50 ,52538990,$126.97 ,$129.04 ,$122.12 ,GOOGL,3
06-06-23,$127.31 ,26638300,$126.01 ,$128.29 ,$125.36 ,GOOGL,3
06-05-23,$126.01 ,32305530,$124.01 ,$127.43 ,$123.84 ,GOOGL,3
06-02-23,$124.67 ,26980150,$123.99 ,$126.15 ,$123.76 ,GOOGL,3
06-01-23,$123.72 ,30772680,$122.82 ,$124.42 ,$122.62 ,GOOGL,3
05/31/2023,$122.87 ,37325790,$122.75 ,$124.06 ,$122.50 ,GOOGL,3
05/30/2023,$123.67 ,35076660,$125.64 ,$125.66 ,$122.00 ,GOOGL,3
05/26/2023,$124.61 ,35635940,$123.17 ,$125.26 ,$122.45 ,GOOGL,3
05/25/2023,$123.48 ,42316990,$124.52 ,$125.32 ,$121.96 ,GOOGL,3
05/24/2023,$120.90 ,34182640,$121.12 ,$121.91 ,$119.86 ,GOOGL,3
05/23/2023,$122.56 ,34046250,$124.16 ,$124.63 ,$122.21 ,GOOGL,3
05/22/2023,$125.05 ,35253030,$122.94 ,$126.43 ,$122.74 ,GOOGL,3
05/19/2023,$122.76 ,41353450,$123.55 ,$125.97 ,$122.15 ,GOOGL,3
05/18/2023,$122.83 ,35234230,$120.95 ,$123.31 ,$120.83 ,GOOGL,3
05/17/2023,$120.84 ,33323590,$119.61 ,$121.67 ,$118.89 ,GOOGL,3
05/16/2023,$119.51 ,45035560,$116.49 ,$120.75 ,$116.43 ,GOOGL,3
05/15/2023,$116.51 ,36266770,$116.11 ,$118.48 ,$116.01 ,GOOGL,3
05-12-23,$117.51 ,41102330,$116.68 ,$118.03 ,$116.11 ,GOOGL,3
05-11-23,$116.57 ,78900030,$115.40 ,$117.92 ,$114.41 ,GOOGL,3
05-10-23,$111.75 ,63153370,$107.97 ,$112.94 ,$107.93 ,GOOGL,3
05-09-23,$107.35 ,36360140,$108.39 ,$110.15 ,$107.19 ,GOOGL,3
05-08-23,$107.77 ,26511450,$105.18 ,$107.96 ,$105.16 ,GOOGL,3
05-05-23,$105.57 ,26639250,$104.82 ,$105.88 ,$104.11 ,GOOGL,3
05-04-23,$104.69 ,23419510,$105.49 ,$105.60 ,$103.97 ,GOOGL,3
05-03-23,$105.41 ,21795410,$105.53 ,$107.49 ,$104.96 ,GOOGL,3
05-02-23,$105.32 ,30997250,$107.14 ,$107.20 ,$103.71 ,GOOGL,3
05-01-23,$107.20 ,26681680,$106.84 ,$107.99 ,$106.82 ,GOOGL,3
04/28/2023,$107.34 ,36139850,$107.04 ,$107.35 ,$105.09 ,GOOGL,3
04/27/2023,$107.59 ,50089190,$104.45 ,$108.37 ,$103.54 ,GOOGL,3
04/26/2023,$103.71 ,53347560,$104.92 ,$106.35 ,$102.63 ,GOOGL,3
04/25/2023,$103.85 ,46664100,$105.83 ,$106.69 ,$103.84 ,GOOGL,3
04/24/2023,$105.97 ,23542830,$105.49 ,$106.63 ,$104.70 ,GOOGL,3
04/21/2023,$105.41 ,25800080,$105.47 ,$106.00 ,$104.78 ,GOOGL,3
04/20/2023,$105.29 ,27820790,$103.91 ,$106.25 ,$103.87 ,GOOGL,3
04/19/2023,$104.18 ,20905680,$103.58 ,$104.98 ,$103.07 ,GOOGL,3
04/18/2023,$104.50 ,26596450,$106.49 ,$106.54 ,$104.07 ,GOOGL,3
04/17/2023,$105.97 ,37571220,$104.66 ,$106.16 ,$104.52 ,GOOGL,3
04/14/2023,$108.87 ,26578000,$106.89 ,$108.94 ,$106.84 ,GOOGL,3
04/13/2023,$107.43 ,24843580,$105.84 ,$107.49 ,$105.84 ,GOOGL,3
04-12-23,$104.64 ,24370270,$106.58 ,$106.75 ,$104.34 ,GOOGL,3
04-11-23,$105.35 ,26311800,$106.55 ,$106.73 ,$104.68 ,GOOGL,3
04-10-23,$106.44 ,27067360,$106.98 ,$107.59 ,$105.12 ,GOOGL,3
04-06-23,$108.42 ,48711480,$105.26 ,$109.17 ,$104.33 ,GOOGL,3
04-05-23,$104.47 ,28290500,$105.78 ,$106.10 ,$103.66 ,GOOGL,3
04-04-23,$104.72 ,24420080,$104.33 ,$105.58 ,$104.04 ,GOOGL,3
04-03-23,$104.36 ,25035400,$102.39 ,$104.53 ,$101.93 ,GOOGL,3
03/31/2023,$103.73 ,36863370,$101.30 ,$103.89 ,$101.04 ,GOOGL,3
03/30/2023,$100.89 ,33086180,$100.91 ,$101.16 ,$99.78 ,GOOGL,3
03/29/2023,$101.39 ,28779570,$102.28 ,$102.49 ,$100.65 ,GOOGL,3
03/28/2023,$101.03 ,32057870,$102.44 ,$102.45 ,$99.74 ,GOOGL,3
03/27/2023,$102.46 ,31120860,$104.62 ,$104.76 ,$101.93 ,GOOGL,3
03/24/2023,$105.44 ,30411040,$104.99 ,$105.49 ,$103.84 ,GOOGL,3
03/23/2023,$105.60 ,40797770,$105.06 ,$106.30 ,$104.46 ,GOOGL,3
03/22/2023,$103.37 ,43427420,$104.27 ,$106.59 ,$103.33 ,GOOGL,3
03/21/2023,$104.92 ,42110280,$101.25 ,$105.10 ,$101.22 ,GOOGL,3
03/20/2023,$101.22 ,32960440,$100.12 ,$101.75 ,$99.87 ,GOOGL,3
03/17/2023,$101.62 ,61028550,$100.26 ,$102.84 ,$100.10 ,GOOGL,3
03/16/2023,$100.32 ,65567660,$96.20 ,$101.19 ,$95.50 ,GOOGL,3
03/15/2023,$96.11 ,50622050,$93.22 ,$96.93 ,$92.64 ,GOOGL,3
03/14/2023,$93.97 ,36050210,$92.56 ,$94.36 ,$92.44 ,GOOGL,3
03/13/2023,$91.11 ,37335570,$90.09 ,$92.57 ,$89.42 ,GOOGL,3
03-10-23,$90.63 ,35941050,$92.17 ,$92.79 ,$90.40 ,GOOGL,3
03-09-23,$92.32 ,28813530,$94.05 ,$95.53 ,$91.90 ,GOOGL,3
03-08-23,$94.25 ,34103270,$94.12 ,$95.96 ,$94.00 ,GOOGL,3
03-07-23,$93.86 ,27835480,$94.98 ,$95.67 ,$93.53 ,GOOGL,3
03-06-23,$95.13 ,32639310,$94.02 ,$95.97 ,$94.00 ,GOOGL,3
03-03-23,$93.65 ,35160110,$92.48 ,$93.73 ,$92.45 ,GOOGL,3
03-02-23,$92.00 ,32226230,$89.66 ,$92.28 ,$89.59 ,GOOGL,3
03-01-23,$90.36 ,31111230,$89.98 ,$91.03 ,$89.67 ,GOOGL,3
02/28/2023,$90.06 ,30142040,$89.33 ,$91.23 ,$89.32 ,GOOGL,3
02/27/2023,$89.87 ,27502300,$89.87 ,$90.16 ,$89.34 ,GOOGL,3
02/24/2023,$89.13 ,36585090,$89.44 ,$89.89 ,$88.58 ,GOOGL,3
02/23/2023,$90.89 ,41206380,$91.92 ,$91.94 ,$89.76 ,GOOGL,3
02/22/2023,$91.65 ,30884020,$91.70 ,$92.11 ,$90.61 ,GOOGL,3
02/21/2023,$91.79 ,33629260,$93.00 ,$93.10 ,$91.72 ,GOOGL,3
02/17/2023,$94.35 ,34284120,$94.85 ,$95.56 ,$93.21 ,GOOGL,3
02/16/2023,$95.51 ,42462620,$95.37 ,$97.68 ,$94.74 ,GOOGL,3
02/15/2023,$96.94 ,50298480,$94.49 ,$97.12 ,$94.15 ,GOOGL,3
02/14/2023,$94.68 ,54726120,$94.43 ,$94.85 ,$92.26 ,GOOGL,3
02/13/2023,$94.61 ,50076120,$94.74 ,$95.20 ,$93.84 ,GOOGL,3
02-10-23,$94.57 ,54980700,$95.45 ,$96.75 ,$94.25 ,GOOGL,3
02-09-23,$95.01 ,119455000,$100.00 ,$100.03 ,$93.63 ,GOOGL,3
02-08-23,$99.37 ,94743520,$102.05 ,$103.14 ,$98.04 ,GOOGL,3
02-07-23,$107.64 ,49010230,$103.22 ,$108.18 ,$103.12 ,GOOGL,3
02-06-23,$102.90 ,31999560,$102.40 ,$104.36 ,$101.88 ,GOOGL,3
02-03-23,$104.78 ,65309260,$102.93 ,$107.81 ,$102.58 ,GOOGL,3
02-02-23,$107.74 ,69883760,$105.80 ,$107.85 ,$105.61 ,GOOGL,3
02-01-23,$100.43 ,35531100,$98.71 ,$101.19 ,$97.58 ,GOOGL,3
01/31/2023,$98.84 ,29870670,$96.87 ,$98.88 ,$96.82 ,GOOGL,3
01/30/2023,$96.94 ,27226200,$97.48 ,$98.29 ,$96.40 ,GOOGL,3
01/27/2023,$99.37 ,33879750,$97.31 ,$100.32 ,$97.31 ,GOOGL,3
01/26/2023,$97.52 ,30113970,$96.50 ,$97.57 ,$95.38 ,GOOGL,3
01/25/2023,$95.22 ,42329950,$95.57 ,$96.16 ,$93.76 ,GOOGL,3
01/24/2023,$97.70 ,33078510,$98.10 ,$99.61 ,$97.20 ,GOOGL,3
01/23/2023,$99.79 ,40005060,$97.95 ,$100.04 ,$97.50 ,GOOGL,3
01/20/2023,$98.02 ,63191080,$95.10 ,$98.30 ,$95.02 ,GOOGL,3
01/19/2023,$93.05 ,37000400,$90.72 ,$93.61 ,$90.63 ,GOOGL,3
01/18/2023,$91.12 ,29116690,$92.14 ,$92.80 ,$90.64 ,GOOGL,3
01/17/2023,$91.29 ,32602420,$92.06 ,$92.25 ,$90.05 ,GOOGL,3
01/13/2023,$92.12 ,26329210,$90.85 ,$92.19 ,$90.13 ,GOOGL,3
01-12-23,$91.13 ,30258140,$91.48 ,$91.87 ,$89.75 ,GOOGL,3
01-11-23,$91.52 ,26861970,$89.18 ,$91.60 ,$89.01 ,GOOGL,3
01-10-23,$88.42 ,30467760,$85.98 ,$88.67 ,$85.83 ,GOOGL,3
01-09-23,$88.02 ,29003900,$88.36 ,$90.05 ,$87.86 ,GOOGL,3
01-06-23,$87.34 ,41381500,$86.79 ,$87.69 ,$84.86 ,GOOGL,3
01-05-23,$86.20 ,27194380,$87.47 ,$87.57 ,$85.90 ,GOOGL,3
01-04-23,$88.08 ,34854780,$90.35 ,$90.65 ,$87.27 ,GOOGL,3
01-03-23,$89.12 ,28131220,$89.59 ,$91.05 ,$88.52 ,GOOGL,3
12/30/2022,$88.23 ,23986300,$86.98 ,$88.30 ,$86.57 ,GOOGL,3
12/29/2022,$88.45 ,23333540,$86.62 ,$88.85 ,$86.61 ,GOOGL,3
12/28/2022,$86.02 ,19523180,$86.98 ,$88.04 ,$85.94 ,GOOGL,3
12/27/2022,$87.39 ,20097350,$88.80 ,$88.94 ,$87.01 ,GOOGL,3
12/23/2022,$89.23 ,23003040,$87.11 ,$89.55 ,$87.07 ,GOOGL,3
12/22/2022,$87.76 ,27658290,$88.16 ,$88.54 ,$86.32 ,GOOGL,3
12/21/2022,$89.58 ,24745640,$89.08 ,$90.22 ,$88.32 ,GOOGL,3
12/20/2022,$89.02 ,23453840,$88.11 ,$89.18 ,$87.44 ,GOOGL,3
12/19/2022,$88.44 ,29493030,$90.26 ,$90.56 ,$88.21 ,GOOGL,3
12/16/2022,$90.26 ,58011850,$90.76 ,$91.33 ,$89.52 ,GOOGL,3
12/15/2022,$90.86 ,40107030,$93.13 ,$93.64 ,$90.01 ,GOOGL,3
12/14/2022,$95.07 ,28733600,$95.20 ,$96.87 ,$93.60 ,GOOGL,3
12/13/2022,$95.63 ,40593660,$97.76 ,$99.53 ,$95.03 ,GOOGL,3
12-12-22,$93.31 ,29009010,$92.71 ,$93.56 ,$91.61 ,GOOGL,3
12-09-22,$92.83 ,28225450,$93.77 ,$94.26 ,$92.75 ,GOOGL,3
12-08-22,$93.71 ,32213290,$95.38 ,$95.58 ,$93.45 ,GOOGL,3
12-07-22,$94.94 ,31045450,$96.41 ,$96.88 ,$94.72 ,GOOGL,3
12-06-22,$96.98 ,24910660,$99.30 ,$99.78 ,$96.42 ,GOOGL,3
12-05-22,$99.48 ,24405090,$99.40 ,$101.38 ,$99.00 ,GOOGL,3
12-02-22,$100.44 ,21480700,$99.05 ,$100.77 ,$98.90 ,GOOGL,3
12-01-22,$100.99 ,28687100,$101.02 ,$102.25 ,$100.25 ,GOOGL,3
11/30/2022,$100.99 ,43647480,$94.82 ,$101.04 ,$94.42 ,GOOGL,3
11/29/2022,$95.19 ,20061720,$95.73 ,$96.12 ,$94.11 ,GOOGL,3
11/28/2022,$96.05 ,26252430,$97.04 ,$97.58 ,$95.61 ,GOOGL,3
11/25/2022,$97.46 ,9701441,$98.24 ,$98.64 ,$97.40 ,GOOGL,3
11/23/2022,$98.46 ,18868090,$97.09 ,$98.76 ,$97.09 ,GOOGL,3
11/22/2022,$97.05 ,23438480,$95.95 ,$97.22 ,$94.05 ,GOOGL,3
11/21/2022,$95.60 ,21647390,$97.29 ,$98.40 ,$95.36 ,GOOGL,3
11/18/2022,$97.43 ,28342300,$98.77 ,$98.90 ,$96.37 ,GOOGL,3
11/17/2022,$98.36 ,26052600,$96.97 ,$99.28 ,$96.79 ,GOOGL,3
11/16/2022,$98.85 ,29105150,$97.90 ,$99.64 ,$97.64 ,GOOGL,3
11/15/2022,$98.44 ,41640820,$98.26 ,$100.14 ,$96.71 ,GOOGL,3
11/14/2022,$95.70 ,30179540,$95.09 ,$96.79 ,$94.51 ,GOOGL,3
11-11-22,$96.41 ,33090480,$94.69 ,$96.93 ,$93.92 ,GOOGL,3
11-10-22,$93.94 ,51620140,$92.25 ,$94.39 ,$91.61 ,GOOGL,3
11-09-22,$87.32 ,31769100,$88.45 ,$89.44 ,$87.28 ,GOOGL,3
11-08-22,$88.90 ,30429030,$88.90 ,$90.32 ,$87.59 ,GOOGL,3
11-07-22,$88.49 ,34078910,$87.28 ,$88.90 ,$86.85 ,GOOGL,3
